x;y;z
0.014;0.054;-0.995
0.016;0.050;-0.994
0.018;0.052;-0.996
0.018;0.048;-1.005
0.011;0.053;-1.009
0.006;0.060;-1.001
0.010;0.058;-0.995
0.010;0.060;-0.996
0.017;0.059;-1.009
0.022;0.051;-1.001
0.027;0.050;-0.999
0.023;0.054;-0.995
0.021;0.056;-0.996
0.016;0.056;-0.990
0.018;0.057;-0.996
0.013;0.063;-0.991
0.018;0.049;-1.004
0.018;0.061;-1.004
0.021;0.051;-1.011
0.021;0.059;-1.006
0.021;0.055;-0.999
0.020;0.062;-0.999
0.017;0.055;-1.000
0.017;0.051;-0.987
0.011;0.068;-0.995
0.009;0.064;-1.000
0.011;0.056;-1.021
0.013;0.060;-1.008
0.012;0.065;-0.990
0.015;0.067;-0.994
0.018;0.058;-0.995
0.023;0.054;-0.997
0.023;0.055;-1.009
0.015;0.049;-1.011
0.020;0.048;-1.019
0.012;0.071;-1.012
0.004;0.077;-0.994
0.008;0.062;-0.987
0.017;0.048;-1.002
0.018;0.045;-0.995
0.021;0.047;-0.999
0.025;0.049;-0.996
0.025;0.055;-1.007
0.022;0.057;-1.011
0.021;0.054;-1.020
0.017;0.060;-1.007
0.006;0.083;-0.980
0.008;0.072;-0.964
0.011;0.056;-0.974
0.010;0.054;-0.990
0.002;0.059;-1.010
0.002;0.058;-1.004
0.022;0.055;-1.005
0.018;0.063;-1.009
0.027;0.052;-1.011
0.029;0.060;-1.014
0.015;0.059;-1.026
0.017;0.052;-1.010
0.010;0.067;-0.970
-0.002;0.069;-0.974
0.004;0.058;-0.989
0.013;0.041;-1.004
0.008;0.047;-1.021
0.012;0.047;-1.036
-0.002;0.057;-1.023
-0.007;0.078;-1.001
0.003;0.079;-1.003
0.010;0.074;-0.993
0.027;0.053;-0.980
0.024;0.045;-0.994
0.017;0.056;-0.980
-0.008;0.071;-0.981
-0.007;0.075;-0.977
0.007;0.053;-0.999
0.016;0.036;-1.037
0.017;0.034;-1.035
0.008;0.058;-0.998
0.018;0.050;-0.992
0.006;0.058;-0.999
-0.006;0.050;-1.006
-0.008;0.062;-1.003
-0.011;0.078;-1.011
-0.013;0.093;-0.965
