index;value
2;292
3;293
4;293
5;292
6;292
7;292
8;291
9;292
10;291
11;291
12;291
13;291
14;291
15;290
16;290
17;290
18;290
19;290
20;290
21;290
22;290
23;290
24;290
25;290
26;290
27;290
28;290
29;290
30;290
31;290
32;289
33;289
34;289
35;289
36;289
37;289
38;290
39;290
40;290
41;290
42;290
43;290
44;290
45;291
46;290
47;290
48;290
49;291
50;290
51;290
52;290
53;290
54;291
55;291
56;291
57;291
58;291
59;292
60;291
61;292
62;292
63;291
64;292
65;292
66;292
67;291
68;291
69;292
70;292
71;292
72;292
73;292
74;292
75;292
76;293
77;292
78;293
79;293
80;293
81;293
82;293
83;293
84;294
85;293
86;293
87;293
88;293
89;293
90;293
91;293
92;293
93;293
94;293
95;294
96;294
97;294
98;294
99;294
100;294
101;294
102;294
103;294
104;294
105;294
106;294
107;294
108;294
109;294
110;294
111;294
112;294
113;294
114;294
115;294
116;294
117;294
118;294
119;294
120;294
121;294
122;294
123;294
124;294
125;294
126;294
127;293
128;293
129;293
130;293
131;293
132;293
133;293
134;293
135;293
136;293
137;294
138;294
139;293
140;293
141;294
142;293
143;293
144;293
145;294
146;293
147;293
148;293
149;293
150;293
151;293
152;293
153;293
154;293
155;293
156;293
157;293
158;293
159;293
160;293
161;293
162;293
163;293
164;293
165;293
166;293
167;293
168;293
169;293
170;293
171;293
172;293
173;293
174;293
175;293
176;293
177;293
178;293
179;293
180;293
181;293
182;293
183;293
184;293
185;293
186;293
187;293
188;293
189;293
190;293
191;293
192;293
193;293
194;293
195;293
196;293
197;293
198;293
199;293
200;293
201;294
202;294
203;294
204;294
205;294
206;294
207;294
208;294
209;294
210;294
211;294
212;294
213;294
214;294
215;295
216;294
217;295
218;294
219;295
220;294
221;295
222;295
223;295
224;295
225;295
226;295
227;295
228;296
229;295
230;295
231;296
232;296
233;296
234;296
235;296
236;296
237;296
238;297
239;297
240;297
241;297
242;297
243;297
244;297
245;298
246;297
247;298
248;298
249;298
250;298
251;298
252;298
253;298
254;298
255;299
256;299
257;298
258;298
259;299
260;299
261;299
262;299
263;299
264;299
265;299
266;299
267;299
268;299
269;299
270;299
271;299
272;299
273;299
274;299
275;299
276;299
277;299
278;300
279;299
280;299
281;300
282;300
283;300
284;300
285;300
286;300
287;300
288;300
289;299
290;299
291;299
292;299
293;299
294;299
295;300
296;300
297;299
298;299
299;300
300;299
301;299
302;299
303;299
304;299
305;299
306;299
307;299
308;299
309;298
310;298
311;298
312;298
313;298
314;298
315;298
316;299
317;298
318;299
319;298
320;298
321;299
322;299
323;298
324;299
325;299
326;299
327;298
328;299
329;299
330;299
331;298
332;299
333;299
334;298
335;298
336;299
337;299
338;299
339;299
340;299
341;299
342;300
343;299
344;299
345;299
346;299
347;299
348;299
349;299
350;300
351;300
352;300
353;300
354;300
355;301
356;301
357;302
358;302
359;302
360;303
361;303
362;303
363;303
364;304
365;304
366;304
367;304
368;304
369;304
370;304
371;304
372;304
373;305
374;305
375;305
376;305
377;306
378;306
379;306
380;307
381;307
382;307
383;307
384;307
385;307
386;307
387;308
388;307
389;307
390;307
391;307
392;307
393;307
394;307
395;307
396;307
397;307
398;308
399;307
400;307
401;308
402;307
403;308
404;307
405;307
406;307
407;307
408;307
409;307
410;306
411;306
412;306
413;306
414;306
415;306
416;306
417;305
418;305
419;306
420;306
421;305
422;305
423;305
424;305
425;305
426;304
427;304
428;304
429;304
430;303
431;303
432;303
433;303
434;303
435;302
436;303
437;303
438;303
439;303
440;303
441;303
442;303
443;303
444;302
445;302
446;302
447;302
448;301
449;302
450;302
451;302
452;301
453;301
454;301
455;301
456;301
457;300
458;300
459;301
460;300
461;300
462;300
463;300
464;300
465;300
466;299
467;299
468;298
469;298
470;298
471;297
472;297
473;297
474;297
475;296
476;296
477;296
478;295
479;295
480;295
481;295
482;295
483;294
484;294
485;293
486;293
487;293
488;293
489;293
490;293
491;293
492;294
493;295
494;296
495;298
496;300
497;302
498;305
499;308
500;311
501;315
502;319
503;323
504;327
505;331
506;335
