index;value
0;304
1;306
1;307
1;307
2;308
2;309
2;310
3;311
3;311
3;312
4;312
4;312
4;312
5;312
5;311
6;311
6;310
6;309
7;309
7;308
7;307
8;306
8;305
8;304
9;303
9;302
9;301
10;300
10;299
11;298
11;297
11;296
12;295
12;294
13;293
13;292
13;291
14;290
14;290
15;290
15;289
15;289
16;289
16;290
17;290
17;290
17;291
18;292
18;293
19;294
19;295
19;296
20;297
20;299
21;300
21;301
21;302
22;303
22;304
23;304
23;304
23;304
24;305
24;304
25;304
25;304
25;302
26;302
26;301
27;300
27;299
27;298
28;297
28;296
29;295
29;294
29;292
30;291
30;290
31;289
31;288
31;287
32;286
32;285
33;284
33;284
33;283
34;283
34;282
35;282
35;282
35;282
36;282
36;283
37;283
37;285
37;285
38;286
38;287
39;288
39;290
39;291
40;292
40;293
41;295
41;295
41;297
43;297
43;298
44;298
44;298
44;298
45;298
45;298
46;298
46;297
46;296
47;295
47;294
48;294
48;292
48;291
49;290
49;289
50;288
50;287
50;286
51;285
51;284
52;283
52;282
52;281
53;280
53;279
54;279
54;278
54;278
55;278
55;278
56;278
56;278
56;278
57;279
57;280
58;280
58;281
58;282
59;284
59;285
60;286
60;287
60;288
61;289
61;291
62;292
62;293
62;294
63;294
63;294
64;295
64;295
64;295
65;294
65;294
66;293
66;292
66;292
67;291
67;290
68;289
68;288
68;287
69;286
69;285
70;283
70;283
70;282
71;281
71;280
72;279
72;278
72;277
73;276
73;276
74;275
74;275
74;275
75;275
75;275
76;275
76;276
76;276
77;277
77;278
78;279
78;280
78;281
79;282
79;283
80;284
80;286
80;287
81;288
81;290
82;290
82;291
82;292
83;292
83;292
84;292
84;292
84;291
86;291
86;290
87;289
87;289
87;288
88;287
88;286
89;286
89;284
89;283
90;282
90;281
91;280
91;279
91;278
92;277
92;276
93;276
93;275
93;274
94;274
94;274
95;273
95;273
95;273
96;273
96;273
97;274
97;275
97;276
98;277
98;278
99;279
99;280
99;282
100;283
100;284
101;285
101;287
102;288
102;289
103;290
103;291
103;291
104;291
104;291
105;291
105;290
106;289
106;289
107;288
107;287
107;286
108;285
108;284
109;283
109;282
110;281
110;279
111;278
111;277
112;276
112;275
112;274
113;274
113;273
114;273
114;273
115;273
115;272
116;273
116;273
116;274
117;275
117;276
118;277
118;279
119;280
119;281
120;283
120;284
120;285
121;287
121;288
122;289
122;290
123;290
123;291
124;291
124;291
125;290
125;290
125;289
126;288
126;287
128;286
128;285
129;284
129;283
130;282
130;281
130;279
131;278
131;278
132;276
132;275
133;275
133;274
134;273
134;273
134;272
135;272
135;272
136;272
136;273
137;273
137;274
138;275
138;276
139;278
139;279
139;281
140;282
140;283
141;285
141;286
142;287
142;288
143;290
143;290
143;291
144;291
144;291
145;291
145;290
146;290
146;289
147;288
147;287
147;286
148;285
148;284
149;283
149;282
150;281
150;280
151;279
151;278
152;277
152;276
152;275
153;275
153;274
154;274
154;273
155;273
155;273
156;273
156;274
156;274
157;276
157;277
158;278
158;279
159;281
159;282
160;284
160;285
160;286
161;288
161;290
162;291
162;291
163;292
163;292
164;293
164;293
165;292
165;292
165;291
166;290
166;289
167;288
167;287
168;287
168;285
169;284
169;283
169;282
171;281
171;280
172;279
172;278
173;277
173;277
174;276
174;275
174;275
175;275
175;275
176;275
176;275
177;276
177;277
178;278
178;279
179;280
179;282
179;283
180;285
180;286
181;288
181;289
182;290
182;291
183;293
183;293
183;294
184;294
184;294
185;294
185;294
186;293
186;292
187;292
187;291
187;290
188;289
188;288
189;287
189;286
190;285
190;284
191;283
191;282
192;281
192;280
192;279
193;278
193;278
194;278
194;278
195;277
195;277
196;277
196;278
196;278
197;279
197;281
198;282
198;283
199;285
199;286
200;288
200;289
200;291
201;292
201;294
202;295
202;296
203;296
203;297
204;297
204;297
205;297
205;296
205;296
206;295
206;294
207;294
207;292
208;291
208;290
209;290
209;288
209;287
210;286
210;285
211;284
211;283
212;282
212;281
214;281
214;281
214;280
215;280
215;280
216;280
216;280
217;281
217;281
218;283
218;284
219;285
219;286
219;288
220;289
220;291
221;292
221;294
222;295
222;296
223;298
223;299
223;299
224;299
224;299
225;299
225;299
226;298
226;297
227;297
227;295
227;295
228;294
228;293
229;292
229;291
230;289
230;288
231;288
231;287
232;285
232;285
232;284
233;283
233;283
234;282
234;282
235;282
235;282
236;281
236;282
236;283
237;284
237;285
238;286
238;288
239;289
239;290
240;292
240;293
240;295
241;296
241;297
242;299
242;300
243;301
243;301
244;301
244;302
245;301
245;301
245;300
246;300
246;299
247;298
247;297
248;296
248;295
249;294
249;293
249;292
250;290
250;289
251;288
251;288
252;286
252;286
253;285
253;285
253;284
254;284
254;284
256;284
256;284
257;285
257;285
258;286
258;288
259;289
259;290
259;292
260;293
260;295
261;296
261;297
262;299
262;300
263;301
263;302
263;303
264;303
264;303
265;303
265;303
266;302
266;302
267;301
267;300
267;299
268;298
268;297
269;296
269;295
270;294
270;293
271;292
271;291
272;289
272;289
272;288
273;287
273;287
274;286
274;285
275;286
275;285
276;285
276;286
276;286
277;287
277;288
278;290
278;291
279;292
279;294
280;295
280;296
280;298
281;299
281;301
282;302
282;303
