value,index
304,0
306,1
307,1
307,1
308,2
309,2
310,2
311,3
311,3
312,3
312,4
312,4
312,4
312,5
311,5
311,6
310,6
309,6
309,7
308,7
307,7
306,8
305,8
304,8
303,9
302,9
301,9
300,10
299,10
298,11
297,11
296,11
295,12
294,12
293,13
292,13
291,13
290,14
290,14
290,15
289,15
289,15
289,16
290,16
290,17
290,17
291,17
292,18
293,18
294,19
295,19
296,19
297,20
299,20
300,21
301,21
302,21
303,22
304,22
304,23
304,23
304,23
305,24
304,24
304,25
304,25
302,25
302,26
301,26
300,27
299,27
298,27
297,28
296,28
295,29
294,29
292,29
291,30
290,30
289,31
288,31
287,31
286,32
285,32
284,33
284,33
283,33
283,34
282,34
282,35
282,35
282,35
282,36
283,36
283,37
285,37
285,37
286,38
287,38
288,39
290,39
291,39
292,40
293,40
295,41
295,41
297,41
297,43
298,43
298,44
298,44
298,44
298,45
298,45
298,46
297,46
296,46
295,47
294,47
294,48
292,48
291,48
290,49
289,49
288,50
287,50
286,50
285,51
284,51
283,52
282,52
281,52
280,53
279,53
279,54
278,54
278,54
278,55
278,55
278,56
278,56
278,56
279,57
280,57
280,58
281,58
282,58
284,59
285,59
286,60
287,60
288,60
289,61
291,61
292,62
293,62
294,62
294,63
294,63
295,64
295,64
295,64
294,65
294,65
293,66
292,66
292,66
291,67
290,67
289,68
288,68
287,68
286,69
285,69
283,70
283,70
282,70
281,71
280,71
279,72
278,72
277,72
276,73
276,73
275,74
275,74
275,74
275,75
275,75
275,76
276,76
276,76
277,77
278,77
279,78
280,78
281,78
282,79
283,79
284,80
286,80
287,80
288,81
290,81
290,82
291,82
292,82
292,83
292,83
292,84
292,84
291,84
291,86
290,86
289,87
289,87
288,87
287,88
286,88
286,89
284,89
283,89
282,90
281,90
280,91
279,91
278,91
277,92
276,92
276,93
275,93
274,93
274,94
274,94
273,95
273,95
273,95
273,96
273,96
274,97
275,97
276,97
277,98
278,98
279,99
280,99
282,99
283,100
284,100
285,101
287,101
288,102
289,102
290,103
291,103
291,103
291,104
291,104
291,105
290,105
289,106
289,106
288,107
287,107
286,107
285,108
284,108
283,109
282,109
281,110
279,110
278,111
277,111
276,112
275,112
274,112
274,113
273,113
273,114
273,114
273,115
272,115
273,116
273,116
274,116
275,117
276,117
277,118
279,118
280,119
281,119
283,120
284,120
285,120
287,121
288,121
289,122
290,122
290,123
291,123
291,124
291,124
290,125
290,125
289,125
288,126
287,126
286,128
285,128
284,129
283,129
282,130
281,130
279,130
278,131
278,131
276,132
275,132
275,133
274,133
273,134
273,134
272,134
272,135
272,135
272,136
273,136
273,137
274,137
275,138
276,138
278,139
279,139
281,139
282,140
283,140
285,141
286,141
287,142
288,142
290,143
290,143
291,143
291,144
291,144
291,145
290,145
290,146
289,146
288,147
287,147
286,147
285,148
284,148
283,149
282,149
281,150
280,150
279,151
278,151
277,152
276,152
275,152
275,153
274,153
274,154
273,154
273,155
273,155
273,156
274,156
274,156
276,157
277,157
278,158
279,158
281,159
282,159
284,160
285,160
286,160
288,161
290,161
291,162
291,162
292,163
292,163
293,164
293,164
292,165
292,165
291,165
290,166
289,166
288,167
287,167
287,168
285,168
284,169
283,169
282,169
281,171
280,171
279,172
278,172
277,173
277,173
276,174
275,174
275,174
275,175
275,175
275,176
275,176
276,177
277,177
278,178
279,178
280,179
282,179
283,179
285,180
286,180
288,181
289,181
290,182
291,182
293,183
293,183
294,183
294,184
294,184
294,185
294,185
293,186
292,186
292,187
291,187
290,187
289,188
288,188
287,189
286,189
285,190
284,190
283,191
282,191
281,192
280,192
279,192
278,193
278,193
278,194
278,194
277,195
277,195
277,196
278,196
278,196
279,197
281,197
282,198
283,198
285,199
286,199
288,200
289,200
291,200
292,201
294,201
295,202
296,202
296,203
297,203
297,204
297,204
297,205
296,205
296,205
295,206
294,206
294,207
292,207
291,208
290,208
290,209
288,209
287,209
286,210
285,210
284,211
283,211
282,212
281,212
281,214
281,214
280,214
280,215
280,215
280,216
280,216
281,217
281,217
283,218
284,218
285,219
286,219
288,219
289,220
291,220
292,221
294,221
295,222
296,222
298,223
299,223
299,223
299,224
299,224
299,225
299,225
298,226
297,226
297,227
295,227
295,227
294,228
293,228
292,229
291,229
289,230
288,230
288,231
287,231
285,232
285,232
284,232
283,233
283,233
282,234
282,234
282,235
282,235
281,236
282,236
283,236
284,237
285,237
286,238
288,238
289,239
290,239
292,240
293,240
295,240
296,241
297,241
299,242
300,242
301,243
301,243
301,244
302,244
301,245
301,245
300,245
300,246
299,246
298,247
297,247
296,248
295,248
294,249
293,249
292,249
290,250
289,250
288,251
288,251
286,252
286,252
285,253
285,253
284,253
284,254
284,254
284,256
284,256
285,257
285,257
286,258
288,258
289,259
290,259
292,259
293,260
295,260
296,261
297,261
299,262
300,262
301,263
302,263
303,263
303,264
303,264
303,265
303,265
302,266
302,266
301,267
300,267
299,267
298,268
297,268
296,269
295,269
294,270
293,270
292,271
291,271
289,272
289,272
288,272
287,273
287,273
286,274
285,274
286,275
285,275
285,276
286,276
286,276
287,277
288,277
290,278
291,278
292,279
294,279
295,280
296,280
298,280
299,281
301,281
302,282
303,282
304,283
304,283
304,284
304,284
304,285
304,285
303,285
302,286
302,286
300,287
299,287
299,288
298,288
296,289
295,289
294,289
293,290
292,290
291,291
290,291
289,292
288,292
288,293
287,293
287,293
286,294
286,294
286,295
286,295
287,296
287,296
288,297
289,297
291,299
292,299
293,299
295,300
296,300
297,301
299,301
300,302
302,302
303,303
304,303
304,303
305,304
305,304
305,305
305,305
304,306
303,306
303,307
301,307
301,307
300,308
299,308
298,309
296,309
295,310
294,310
293,311
292,311
291,312
290,312
289,312
288,313
288,313
