index;adc
0;748
1;748
2;748
3;748
4;748
5;748
6;748
7;748
8;748
9;748
10;748
11;748
12;748
13;748
14;748
15;748
16;748
17;748
18;748
19;748
20;748
21;748
22;748
23;748
24;748
25;748
26;748
27;748
28;748
29;748
30;748
31;748
32;748
33;748
34;748
35;748
36;747
37;748
38;748
39;748
40;748
41;748
42;748
43;748
44;748
45;748
46;748
47;748
48;748
49;748
50;748
51;747
52;748
53;748
54;748
55;747
56;748
57;748
58;748
59;748
60;748
61;748
62;748
63;748
64;748
65;748
66;748
67;748
68;748
69;748
70;748
71;748
72;748
73;748
74;748
75;748
76;748
77;748
78;748
79;748
80;748
81;748
82;748
83;748
84;748
85;748
86;748
87;748
88;748
89;748
90;748
91;748
92;748
93;748
94;748
95;748
96;748
97;748
98;748
99;748
100;748
101;748
102;748
103;748
104;748
105;748
106;748
107;748
108;748
109;748
110;748
111;748
112;747
113;748
114;748
115;748
116;748
117;747
118;748
119;748
120;748
121;748
122;748
123;748
124;748
125;748
126;748
127;748
128;748
129;748
130;748
131;748
132;748
133;748
134;748
135;748
136;748
137;748
138;748
139;748
140;748
141;748
142;748
143;748
144;748
145;748
146;748
147;748
148;748
149;747
150;748
151;748
152;748
153;748
154;748
155;748
156;748
157;748
158;748
159;748
160;748
161;748
162;748
163;748
164;748
165;748
166;748
167;748
168;748
169;748
170;748
171;748
172;748
173;748
174;748
175;748
176;748
177;748
178;748
179;748
180;748
181;748
182;748
183;748
184;748
185;748
186;748
187;748
188;748
189;748
190;748
191;748
192;748
193;748
194;748
195;748
196;748
197;748
198;748
199;748
200;748
201;748
202;748
203;748
204;748
205;748
206;748
207;748
208;747
209;748
210;748
211;748
212;748
213;748
214;748
215;747
216;748
217;748
218;748
219;748
220;748
221;748
222;748
223;748
224;748
225;747
226;748
227;748
228;748
229;748
230;748
231;748
232;748
233;748
234;748
235;748
236;748
237;748
238;748
239;748
240;748
241;748
242;748
243;748
244;748
245;748
246;748
247;748
248;748
249;748
250;748
251;748
252;748
253;748
254;748
255;748
256;748
257;748
258;748
259;748
260;748
261;748
262;748
263;748
264;748
265;748
266;747
267;748
268;748
269;747
270;748
271;748
272;748
273;748
274;748
275;748
276;748
277;748
278;748
279;748
280;748
281;748
282;748
283;748
284;747
285;748
286;748
287;748
288;748
289;748
290;748
291;748
292;748
293;748
294;748
295;748
296;748
297;748
298;748
299;748
300;748
301;748
302;748
303;748
304;748
305;748
306;748
307;748
308;748
309;748
310;748
311;748
312;748
313;748
314;747
315;747
316;747
317;747
318;747
319;747
320;748
321;748
322;747
323;747
324;747
325;747
326;747
327;747
328;747
329;747
330;747
331;747
332;747
333;747
334;747
335;747
336;747
337;747
338;747
339;747
340;747
341;747
342;747
343;748
344;747
345;747
346;747
347;748
348;747
349;747
350;747
351;747
352;747
353;748
354;748
355;747
356;748
357;748
358;748
359;748
360;748
361;748
362;748
363;747
364;747
365;747
366;747
367;748
368;747
369;747
370;747
371;747
372;748
373;747
374;748
375;747
376;747
377;747
378;747
379;747
380;747
381;747
382;747
383;747
384;747
385;747
386;747
387;747
388;748
389;747
390;747
391;747
392;747
393;747
394;747
395;747
396;747
397;747
398;747
399;747
400;747
401;747
402;747
403;747
404;747
405;748
406;747
407;748
408;747
409;748
410;748
411;747
412;748
413;747
414;748
415;748
416;748
417;748
418;748
419;747
420;748
421;748
422;748
423;748
424;748
425;748
426;748
427;747
428;748
429;747
430;747
431;747
432;747
433;747
434;747
435;748
436;747
437;747
438;747
439;747
440;748
441;747
442;747
443;747
444;747
445;747
446;747
447;747
448;748
449;747
450;747
451;747
452;747
453;747
454;747
455;747
456;747
457;747
458;748
459;747
460;748
461;748
462;748
463;747
464;747
465;747
466;748
467;747
468;748
469;748
470;747
471;748
472;748
473;748
474;748
475;747
476;748
477;748
478;748
479;748
480;748
481;748
482;747
483;747
484;748
485;748
486;747
487;747
488;748
489;747
490;747
491;747
492;747
493;748
494;748
495;747
496;747
497;747
498;748
499;748
500;747
501;748
502;747
503;747
504;747
505;747
506;747
507;747
508;747
509;747
510;747
511;747
512;748
513;747
514;747
515;747
516;748
517;748
518;748
519;747
520;748
521;748
522;748
523;748
524;748
525;748
526;747
527;748
528;748
529;748
530;747
531;747
532;747
533;747
534;747
535;747
536;747
537;747
538;747
539;748
540;747
541;747
542;747
543;747
544;747
545;747
546;747
547;747
548;747
549;747
550;747
551;747
552;747
553;747
554;747
555;747
556;747
557;747
558;747
559;747
560;747
561;747
562;747
563;747
564;747
565;747
566;747
567;747
568;747
569;747
570;747
571;747
572;747
573;747
574;747
575;747
576;747
577;747
578;747
579;747
580;747
581;747
582;747
583;747
584;747
585;747
586;747
587;747
588;747
589;747
590;747
591;747
592;747
593;747
594;747
595;747
596;747
597;747
598;747
599;747
600;747
601;747
602;747
603;747
604;746
605;747
606;747
607;747
608;746
609;747
610;747
611;746
612;747
613;747
614;747
615;747
616;746
617;746
618;746
619;746
620;747
621;746
622;746
623;746
624;747
625;747
626;747
627;747
628;746
629;746
630;746
631;747
632;747
633;746
634;747
635;747
636;747
637;747
638;747
639;747
640;747
641;746
642;747
643;747
644;747
645;747
646;747
647;746
648;746
649;747
650;746
651;747
652;747
653;746
654;746
655;746
656;746
657;746
658;746
659;746
660;746
661;746
662;746
663;746
664;746
665;746
666;746
667;746
668;746
669;746
670;746
671;746
672;746
673;746
674;746
675;746
676;746
677;746
678;746
679;746
680;747
681;747
682;747
683;746
684;747
685;746
686;747
687;747
688;747
689;746
690;746
691;747
692;746
693;747
694;747
695;747
696;746
697;747
698;746
699;746
700;747
701;747
702;747
703;746
704;747
705;747
706;747
707;747
708;747
709;746
710;746
711;747
712;746
713;746
714;746
715;746
