index;adc
0;742
1;742
2;742
3;742
4;742
5;742
6;742
7;743
8;743
9;742
10;743
11;743
12;743
13;743
14;743
15;743
16;743
17;743
18;743
19;744
20;744
21;744
22;744
23;744
24;744
25;744
26;744
27;744
28;744
29;744
30;744
31;744
32;744
33;745
34;745
35;745
36;745
37;745
38;744
39;745
40;745
41;745
42;745
43;745
44;745
45;745
46;745
47;745
48;745
49;745
50;745
51;745
52;745
53;744
54;744
55;744
56;744
57;744
58;745
59;744
60;745
61;744
62;745
63;744
64;744
65;744
66;744
67;744
68;744
69;744
70;744
71;744
72;743
73;743
74;743
75;743
76;743
77;742
78;742
79;742
80;742
81;742
82;742
83;743
84;742
85;743
86;743
87;742
88;743
89;743
90;743
91;743
92;744
93;744
94;744
95;744
96;744
97;744
98;745
99;745
100;745
101;745
102;745
103;745
104;745
105;745
106;745
107;746
108;745
109;745
110;745
111;746
112;745
113;745
114;745
115;745
116;745
117;745
118;745
119;745
120;745
121;745
122;745
123;745
124;745
125;746
126;745
127;745
128;745
129;745
130;746
131;746
132;746
133;746
134;746
135;746
136;746
137;746
138;746
139;746
140;746
141;746
142;746
143;746
144;746
145;746
146;746
147;746
148;746
149;746
150;746
151;746
152;746
153;746
154;746
155;745
156;745
157;745
158;745
159;745
160;745
161;745
162;745
163;745
164;744
165;744
166;745
167;745
168;744
169;744
170;744
171;744
172;744
173;744
174;744
175;744
176;744
177;743
178;743
179;743
180;743
181;743
182;743
183;744
184;743
185;744
186;744
187;743
188;744
189;743
190;744
191;743
192;744
193;744
194;744
195;744
196;744
197;744
198;744
199;744
200;744
201;744
202;744
203;744
204;745
205;745
206;744
207;744
208;744
209;745
210;744
211;744
212;744
213;744
214;745
215;744
216;744
217;744
218;744
219;744
220;744
221;744
222;744
223;744
224;743
225;743
226;743
227;743
228;743
229;742
230;742
231;742
232;742
233;742
234;741
235;741
236;741
237;741
238;741
239;742
240;741
241;742
242;742
243;742
244;742
245;743
246;743
247;743
248;744
249;744
250;744
251;744
252;744
253;744
254;744
255;743
256;743
257;744
258;743
259;744
260;744
261;744
262;744
263;744
264;744
265;744
266;744
267;744
268;744
269;744
270;744
271;744
272;745
273;745
274;745
275;745
276;745
277;745
278;746
279;747
280;747
281;747
282;747
283;747
284;747
285;748
286;748
287;748
288;748
289;748
290;749
291;749
292;749
293;749
294;749
295;749
296;749
297;749
298;750
299;749
300;749
301;749
302;750
303;749
304;749
305;749
306;749
307;749
308;749
309;749
310;749
311;748
312;748
313;748
314;748
315;748
316;748
317;747
318;747
319;747
320;747
321;747
322;747
323;747
324;747
325;747
326;747
327;747
328;747
329;746
330;747
331;746
332;746
333;746
334;746
335;746
336;746
337;746
338;746
339;746
340;746
341;746
342;746
343;746
344;746
345;745
346;746
347;745
348;746
349;745
350;746
351;745
352;745
353;745
354;745
355;745
356;745
357;745
358;745
359;745
360;745
361;745
362;745
363;745
364;745
365;745
366;745
367;746
368;746
369;746
370;746
371;746
372;746
373;746
374;746
375;746
376;746
377;746
378;746
379;746
380;746
381;746
382;746
383;746
384;746
385;746
386;746
387;746
388;746
389;746
390;746
391;746
392;746
393;746
394;746
395;746
396;746
397;747
398;747
399;747
400;747
401;747
402;747
403;747
404;747
405;747
406;747
407;747
408;748
409;748
410;748
411;748
412;748
413;748
414;748
415;749
416;748
417;749
418;749
419;748
420;749
421;749
422;749
423;749
424;749
425;749
426;749
427;749
428;749
429;749
430;749
431;749
432;748
433;748
434;748
435;748
436;748
437;748
438;748
439;748
440;747
441;747
442;747
443;747
444;747
445;747
446;747
447;747
448;747
449;747
450;747
451;747
452;747
453;747
454;747
455;747
456;747
457;747
458;747
459;747
460;747
461;747
462;747
463;747
464;747
465;747
466;747
467;747
468;747
469;747
470;747
471;747
472;747
473;747
474;747
475;747
476;747
477;747
478;747
479;747
480;747
481;747
482;747
483;747
484;747
485;747
486;747
487;747
488;747
489;747
490;747
491;747
492;747
493;747
494;747
495;747
496;747
497;748
498;748
499;748
500;748
501;748
502;748
503;748
504;749
505;748
506;748
507;749
508;748
509;748
510;748
511;748
512;748
513;748
514;748
515;748
516;747
517;748
518;748
519;747
520;748
521;747
522;747
523;748
524;747
525;747
526;747
527;747
528;747
529;747
530;747
531;747
532;747
533;747
534;747
535;747
536;747
537;746
538;746
539;746
540;746
541;746
542;746
543;746
544;746
545;746
546;746
547;745
548;746
549;745
550;746
551;746
552;746
553;746
554;746
555;746
556;746
557;746
558;746
559;746
560;746
561;746
562;746
563;746
564;746
565;746
566;746
567;746
568;746
569;746
570;746
571;746
572;746
573;746
574;747
575;747
576;747
577;747
578;747
579;747
580;747
581;747
582;747
583;747
584;747
585;747
586;747
587;747
588;748
589;748
590;748
591;748
592;748
593;748
594;748
595;748
596;748
597;748
598;748
599;748
600;748
601;748
602;748
603;748
604;749
605;749
606;749
607;748
608;749
609;749
610;749
611;748
612;748
613;749
614;748
615;748
616;748
617;748
618;748
619;748
620;748
621;748
622;748
623;748
624;748
625;748
626;748
627;748
628;748
629;748
630;748
631;748
632;748
633;748
634;748
635;748
636;748
637;748
638;748
639;748
640;748
641;748
642;748
643;748
644;748
645;748
646;748
647;748
648;747
649;748
650;747
651;748
652;747
653;747
654;747
655;748
656;747
657;747
658;747
659;747
660;747
661;747
662;747
663;747
664;747
665;747
666;748
667;748
668;747
669;748
670;748
671;748
672;748
673;748
674;748
675;748
676;748
677;748
678;748
679;748
680;748
681;748
682;748
683;748
684;748
685;748
686;748
687;748
688;748
689;748
690;748
691;748
692;748
693;748
694;748
695;749
696;749
697;748
698;749
699;749
700;748
701;749
702;748
703;748
704;748
705;748
706;748
707;748
708;747
709;747
710;747
711;746
712;746
713;746
714;745
715;745
716;745
717;744
718;744
719;744
720;744
721;744
722;744
723;744
724;744
725;744
726;744
727;744
728;744
729;744
730;744
731;744
732;744
733;745
734;745
735;745
736;745
737;744
738;745
739;745
740;746
741;746
742;746
743;746
744;746
745;746
746;747
747;747
748;747
749;746
750;747
751;747
752;747
753;747
754;747
755;747
756;747
757;747
758;747
759;747
760;747
761;747
762;747
763;747
764;747
765;747
766;747
767;747
768;747
769;747
770;747
771;747
772;747
773;747
774;747
775;747
776;747
777;747
778;747
779;748
780;747
781;748
782;748
783;748
784;748
785;748
786;748
787;748
788;748
789;748
790;748
791;748
792;748
793;748
794;748
795;747
796;748
797;747
798;747
