index;adc
0;748
1;748
2;747
3;747
4;747
5;748
6;747
7;747
8;748
9;748
10;748
11;748
12;748
13;748
14;748
15;748
16;748
17;748
18;748
19;748
20;748
21;748
22;748
23;748
24;748
25;748
26;748
27;748
28;748
29;748
30;748
31;748
32;748
33;748
34;748
35;748
36;748
37;748
38;748
39;748
40;747
41;748
42;748
43;748
44;748
45;747
46;748
47;748
48;748
49;748
50;748
51;748
52;748
53;748
54;748
55;748
56;748
57;748
58;748
59;748
60;748
61;748
62;748
63;748
64;748
65;748
66;748
67;748
68;748
69;748
70;748
71;748
72;748
73;748
74;748
75;748
76;748
77;748
78;748
79;748
80;748
81;748
82;748
83;748
84;748
85;748
86;748
87;748
88;748
89;748
90;748
91;748
92;748
93;748
94;748
95;748
96;748
97;748
98;748
99;748
100;748
101;748
102;748
103;748
104;748
105;748
106;748
107;748
108;748
109;748
110;748
111;748
112;748
113;748
114;748
115;748
116;748
117;748
118;748
119;748
120;748
121;748
122;748
123;748
124;748
125;748
126;748
127;748
128;748
129;748
130;748
131;748
132;748
133;748
134;748
135;748
136;748
137;748
138;749
139;748
140;748
141;749
142;748
143;748
144;748
145;749
146;749
147;749
148;749
149;748
150;749
151;748
152;749
153;749
154;748
155;748
156;749
157;748
158;749
159;748
160;748
161;748
162;748
163;749
164;748
165;748
166;749
167;749
168;749
169;748
170;748
171;748
172;748
173;748
174;748
175;748
176;748
177;749
178;748
179;748
180;748
181;748
182;748
183;748
184;748
185;749
186;749
187;749
188;748
189;749
190;749
191;749
192;749
193;749
194;749
195;749
196;749
197;749
198;749
199;749
200;749
201;749
202;749
203;749
204;749
205;749
206;748
207;749
208;749
209;749
210;749
211;749
212;748
213;748
214;749
215;748
216;748
217;749
218;748
219;748
220;748
221;748
222;748
223;748
224;749
225;748
226;748
227;748
228;748
229;748
230;748
231;748
232;748
233;748
234;748
235;748
236;748
237;748
238;748
239;748
240;748
241;748
242;748
243;749
244;749
245;748
246;749
247;748
248;749
249;749
250;749
251;749
252;749
253;749
254;749
255;749
256;749
257;749
258;749
259;749
260;749
261;749
262;749
263;749
264;749
265;749
266;749
267;749
268;749
269;749
270;749
271;749
272;749
273;749
274;749
275;749
276;749
277;749
278;748
279;749
280;749
281;749
282;748
283;749
284;748
285;749
286;749
287;749
288;749
289;749
290;748
291;748
292;749
293;748
294;748
295;749
296;748
297;748
298;749
299;749
300;749
301;749
302;749
303;749
304;749
305;749
306;749
307;749
308;749
309;749
310;749
311;749
312;749
313;749
314;749
315;749
316;749
317;749
318;749
319;749
320;749
321;749
322;749
323;749
324;749
325;749
326;749
327;749
328;749
329;749
330;749
331;749
332;749
333;749
334;749
335;749
336;749
337;749
338;749
339;749
340;749
341;749
342;749
343;749
344;749
345;749
346;749
347;749
348;749
349;749
350;749
351;749
352;749
353;749
354;749
355;749
356;749
357;749
358;749
359;749
360;749
361;749
362;749
363;749
364;749
365;749
366;749
367;749
368;749
369;749
370;749
371;749
372;749
373;749
374;749
375;749
376;749
377;749
378;749
379;749
380;749
381;749
382;749
383;749
384;749
385;749
386;749
387;749
388;749
389;749
390;749
391;749
392;749
393;749
394;749
395;749
396;749
397;749
398;749
399;749
400;749
401;749
402;749
403;749
404;749
405;749
406;749
407;749
408;749
409;749
410;749
411;749
412;749
413;749
414;749
415;749
416;749
417;749
418;749
419;749
420;749
421;749
422;749
423;749
424;749
425;749
426;749
427;749
428;749
429;749
430;749
431;749
432;749
433;749
434;749
435;749
436;749
437;749
438;749
439;749
440;749
441;749
442;749
443;749
444;749
445;749
446;749
447;749
448;749
449;749
450;749
451;749
452;749
453;749
454;749
455;749
456;749
457;749
458;749
459;749
460;749
461;749
462;749
463;749
464;749
465;749
466;749
467;749
468;749
469;749
470;749
471;749
472;749
473;749
474;749
475;749
476;749
477;749
478;749
479;749
480;749
481;749
482;749
483;749
484;749
485;749
486;749
487;749
488;749
489;749
490;749
491;749
492;749
493;749
494;749
495;749
496;749
497;749
498;749
499;749
500;749
501;749
502;749
503;749
504;749
505;749
506;749
507;749
508;749
509;749
510;749
511;749
512;749
513;749
514;749
515;749
516;749
517;749
518;749
519;749
520;749
521;749
522;749
523;749
524;749
525;749
526;749
527;749
528;749
529;749
530;749
531;749
532;749
533;749
534;749
535;749
536;749
537;749
538;749
539;749
540;749
541;749
542;749
543;749
544;749
545;749
546;749
547;749
548;749
549;749
550;749
551;749
552;749
553;749
554;749
555;749
556;749
557;749
558;749
559;749
560;749
561;749
562;748
563;749
564;749
565;749
566;749
567;749
568;749
569;749
570;749
571;749
572;749
573;749
574;749
575;749
576;749
577;749
578;749
579;749
580;749
581;749
582;749
583;749
584;749
585;749
586;749
587;749
588;749
589;749
590;749
591;749
592;749
593;749
594;749
595;749
596;749
597;749
598;749
599;749
600;749
601;749
602;749
603;749
604;749
605;749
606;749
607;749
608;749
609;749
610;749
611;749
612;749
613;749
614;749
615;749
616;749
617;749
618;749
619;749
620;749
621;749
622;749
623;749
624;749
625;749
626;749
627;749
628;749
629;749
630;749
631;749
632;749
633;749
634;749
635;749
636;749
637;749
638;749
639;749
640;749
641;750
642;749
643;749
644;749
645;750
646;749
647;750
648;750
649;749
650;749
651;750
652;750
653;750
654;750
655;750
656;749
657;750
658;750
659;750
660;750
661;750
662;749
663;750
664;750
665;749
666;750
667;750
668;750
669;750
670;750
671;750
672;749
673;749
674;750
675;749
676;749
677;750
678;750
679;750
680;750
681;749
682;750
683;750
684;750
685;750
686;749
687;750
688;750
689;750
690;750
691;750
692;750
693;750
694;750
695;750
696;750
697;750
698;750
699;750
700;750
701;750
702;750
703;750
704;750
705;750
706;750
707;750
708;750
709;750
710;750
711;750
712;750
713;750
714;750
715;750
