index;adc
0;731
1;731
2;731
3;731
4;732
5;732
6;732
7;732
8;732
9;732
10;732
11;732
12;732
13;732
14;732
15;732
16;732
17;732
18;733
19;732
20;732
21;732
22;733
23;733
24;733
25;732
26;732
27;733
28;732
29;733
30;732
31;733
32;732
33;733
34;733
35;733
36;733
37;733
38;733
39;733
40;733
41;733
42;733
43;733
44;733
45;734
46;734
47;734
48;734
49;734
50;734
51;734
52;735
53;735
54;735
55;735
56;735
57;735
58;735
59;736
60;736
61;736
62;736
63;736
64;736
65;736
66;736
67;736
68;736
69;737
70;737
71;737
72;737
73;737
74;737
75;737
76;737
77;737
78;737
79;737
80;737
81;737
82;737
83;737
84;738
85;738
86;738
87;737
88;738
89;738
90;738
91;738
92;738
93;738
94;739
95;739
96;739
97;739
98;739
99;740
100;739
101;740
102;740
103;740
104;740
105;740
106;741
107;741
108;741
109;741
110;741
111;742
112;742
113;742
114;742
115;742
116;742
117;743
118;743
119;743
120;743
121;743
122;744
123;744
124;744
125;744
126;744
127;744
128;744
129;744
130;744
131;745
132;745
133;744
134;745
135;745
136;745
137;745
138;745
139;745
140;745
141;745
142;745
143;745
144;745
145;745
146;745
147;745
148;746
149;746
150;746
151;746
152;746
153;746
154;746
155;746
156;747
157;747
158;747
159;747
160;747
161;747
162;747
163;748
164;748
165;748
166;748
167;748
168;748
169;748
170;748
171;749
172;749
173;749
174;749
175;749
176;749
177;749
178;749
179;749
180;749
181;749
182;749
183;749
184;749
185;749
186;749
187;749
188;749
189;749
190;749
191;749
192;749
193;749
194;749
195;749
196;749
197;749
198;749
199;749
200;749
201;749
202;749
203;749
204;749
205;749
206;749
207;749
208;749
209;749
210;749
211;749
212;749
213;749
214;749
215;749
216;749
217;749
218;749
219;749
220;750
221;750
222;750
223;750
224;750
225;750
226;750
227;750
228;750
229;751
230;750
231;751
232;750
233;751
234;751
235;751
236;750
237;750
238;750
239;750
240;750
241;750
242;750
243;750
244;750
245;750
246;750
247;750
248;750
249;750
250;750
251;750
252;750
253;749
254;749
255;749
256;749
257;749
258;749
259;749
260;749
261;749
262;749
263;749
264;749
265;749
266;749
267;749
268;749
269;749
270;749
271;749
272;749
273;749
274;749
275;749
276;749
277;749
278;749
279;749
280;749
281;749
282;749
283;749
284;749
285;749
286;749
287;749
288;749
