t;emg
0;741
1;741
2;741
3;742
4;742
5;742
6;742
7;742
8;742
9;742
10;742
11;742
12;742
13;742
14;742
15;742
16;742
17;742
18;742
19;742
20;742
21;742
22;742
23;742
24;742
25;742
26;742
27;742
28;742
29;742
30;742
31;742
32;742
33;742
34;742
35;742
36;742
37;742
38;742
39;742
40;742
41;742
42;742
43;742
44;742
45;742
46;742
47;742
48;742
49;742
50;742
51;742
52;742
53;743
54;742
55;743
56;743
57;743
58;743
59;743
60;743
61;743
62;743
63;743
64;743
65;743
66;743
67;743
68;743
69;743
70;743
71;743
72;743
73;743
74;744
75;743
76;744
77;743
78;743
79;744
80;744
81;744
82;743
83;744
84;743
85;743
86;743
87;744
88;744
89;744
90;744
91;743
92;744
93;744
94;744
95;744
96;744
97;744
98;744
99;744
100;744
101;744
102;744
103;744
104;744
105;744
106;744
107;744
108;744
109;744
110;744
111;744
112;744
113;744
114;744
115;744
116;744
117;744
118;744
119;744
120;744
121;744
122;745
123;744
124;745
125;745
126;745
127;745
128;745
129;745
130;745
131;745
132;745
133;745
134;745
135;745
136;745
137;745
138;745
139;745
140;745
141;745
142;745
143;745
144;745
145;745
146;745
147;745
148;745
149;745
150;745
151;745
152;745
153;745
154;745
155;745
156;745
157;745
158;746
159;745
160;745
161;745
162;745
163;745
164;746
165;745
166;745
167;745
168;745
169;746
170;746
171;746
172;746
173;746
174;746
175;746
176;746
177;746
178;746
179;746
180;746
181;746
182;746
183;746
184;746
185;746
186;746
187;746
188;747
189;746
190;747
191;747
192;747
193;747
194;747
195;747
196;747
197;747
198;747
199;747
200;747
201;747
202;747
203;747
204;747
205;747
206;747
207;747
208;747
209;747
210;747
211;747
212;747
213;747
214;747
215;747
216;747
217;747
218;747
219;747
220;747
221;747
222;747
223;747
224;747
225;747
226;747
227;747
228;747
229;748
230;748
231;748
232;748
233;748
234;748
235;748
236;748
237;748
238;748
239;748
240;748
241;748
242;748
243;748
244;748
245;748
246;748
247;748
248;748
249;748
250;748
251;748
252;748
253;748
254;748
255;748
256;748
257;748
258;748
259;748
260;748
261;748
262;748
263;748
264;748
265;748
266;748
267;748
268;749
269;748
270;748
271;748
272;748
273;749
274;749
275;748
276;749
277;748
278;749
279;749
280;749
281;749
282;749
283;749
284;749
285;749
286;749
287;749
288;749
289;749
290;749
291;749
292;749
293;750
294;749
295;749
296;750
297;750
298;750
299;750
300;750
301;750
302;750
303;750
304;750
305;750
306;750
307;750
308;750
309;750
310;750
311;750
312;750
313;750
314;750
315;750
316;750
317;750
318;750
319;750
320;750
321;750
322;750
323;750
324;750
325;750
326;750
327;750
328;750
329;750
330;750
331;750
332;750
333;750
334;750
335;750
336;750
337;750
338;750
339;750
340;751
341;751
342;750
343;751
344;750
345;751
346;751
347;751
348;751
349;751
350;751
351;751
352;751
353;751
354;751
355;751
356;751
357;751
358;751
359;751
360;751
361;751
362;751
363;751
364;751
365;751
366;751
367;751
368;751
369;751
370;751
371;751
372;751
373;751
374;751
375;751
376;751
